"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1875","Login with invalid password displays error message","chromium","Thu Mar 19 10:59:20 UTC 2026","passed","Thu Mar 19 10:59:22 UTC 2026","@smoke Login with Invalid Password Test","auth/login-password-invalid.spec.ts","",""
"","541","authenticate","setup","Thu Mar 19 10:59:18 UTC 2026","passed","Thu Mar 19 10:59:18 UTC 2026","","set-up/auth.setup.ts","",""
"","2135","inventory page visual test","chromium","Sat Mar 07 08:32:30 UTC 2026","passed","Sat Mar 07 08:32:32 UTC 2026","","reggresion\inventory-visual-check.spec.ts","",""
"","1167","inventory page visual test","chromium","Sat Mar 07 15:30:14 UTC 2026","passed","Sat Mar 07 15:30:15 UTC 2026","@visual Inventory visual check","regression\inventory-visual-check.spec.ts","",""
"","1113","User can login successfully","chromium","Wed Mar 04 20:03:07 UTC 2026","passed","Wed Mar 04 20:03:08 UTC 2026","@smoke Login","smoke\login.spec.ts","",""
"","1095","inventory page visual test","chromium","Thu Mar 19 10:59:25 UTC 2026","passed","Thu Mar 19 10:59:26 UTC 2026","@visual Inventory visual check","visual/inventory-visual-check.spec.ts","",""
"","2840","Two different users can have independent sessions","chromium","Thu Mar 19 10:59:23 UTC 2026","passed","Thu Mar 19 10:59:25 UTC 2026","@smoke Parallel User Sessions","multi-session/parallel-session.spec.ts","",""
"","4167","User can remove an item from the cart","chromium","Mon Mar 09 15:07:40 UTC 2026","passed","Mon Mar 09 15:07:45 UTC 2026","@smoke Cart Remove Item Test","smoke\cart-remove-item.spec.ts","",""
"","1968","User can add product to cart","chromium","Thu Mar 19 10:59:20 UTC 2026","passed","Thu Mar 19 10:59:22 UTC 2026","@smoke Cart flow","cart/cart-add-product.spec.ts","",""
"","12016","Two different users can have independent sessions","chromium","Mon Mar 09 16:04:17 UTC 2026","passed","Mon Mar 09 16:04:29 UTC 2026","@smoke Parallel User Sessions","smoke\parallel-session.spec.ts","",""
"","13767","Login with invalid password displays error message","chromium","Mon Mar 09 14:47:08 UTC 2026","passed","Mon Mar 09 14:47:22 UTC 2026","@smoke Login with Invalid Password Test","smoke\login-password-invalid.spec.ts","",""
"","2060","User can sort products by price from low to high","chromium","Thu Mar 19 10:59:22 UTC 2026","passed","Thu Mar 19 10:59:25 UTC 2026","@smoke Inventory Sorting","inventory/inventory-sorting.spec.ts","",""
"","10333","Login with locked_out_user displays specific error message","chromium","Mon Mar 09 14:47:22 UTC 2026","passed","Mon Mar 09 14:47:32 UTC 2026","@smoke Login with Locked User Test","smoke\login-user-locked.spec.ts","",""
"","10267","User can sort products by price from low to high","chromium","Mon Mar 09 15:35:36 UTC 2026","passed","Mon Mar 09 15:35:46 UTC 2026","@smoke Inventory Sorting","smoke\inventory-sorting.spec.ts","",""
"","2249","User can remove an item from the cart","chromium","Thu Mar 19 10:59:22 UTC 2026","passed","Thu Mar 19 10:59:25 UTC 2026","@smoke Cart Remove Item Test","cart/cart-remove-item.spec.ts","",""
"","2200","Standart user can login","chromium","Wed Mar 04 20:14:22 UTC 2026","passed","Wed Mar 04 20:14:24 UTC 2026","@smoke Login","smoke\login.spec.ts","",""
"","2466","User can successfully complete checkout","chromium","Thu Mar 19 10:59:22 UTC 2026","passed","Thu Mar 19 10:59:25 UTC 2026","@smoke Checkout Flow Test","cart/cart-checkout-flow.spec.ts","",""
"","1968","Login with locked_out_user displays specific error message","chromium","Thu Mar 19 10:59:20 UTC 2026","passed","Thu Mar 19 10:59:22 UTC 2026","@smoke Login with Locked User Test","auth/login-user-locked.spec.ts","",""
"","14654","User can successfully complete checkout","chromium","Mon Mar 09 15:12:36 UTC 2026","passed","Mon Mar 09 15:12:51 UTC 2026","@smoke Checkout Flow Test","smoke\cart-checkout-flow.spec.ts","",""
"","1978","Standard user can login","chromium","Thu Mar 19 10:59:20 UTC 2026","passed","Thu Mar 19 10:59:22 UTC 2026","@smoke Login","auth/login.spec.ts","",""
"","14190","User can add product to cart","chromium","Mon Mar 09 14:47:08 UTC 2026","passed","Mon Mar 09 14:47:22 UTC 2026","@smoke Cart flow","smoke\cart.spec.ts","",""
"","11702","Standard user can login","chromium","Mon Mar 09 14:47:22 UTC 2026","passed","Mon Mar 09 14:47:34 UTC 2026","@smoke Login","smoke\login.spec.ts","",""
